kingdom,phylum,class,order,family,genus,species,id,db,matched_taxid,url,rank,filename,num_records,seqlength
Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica rapa,GCA_030704385.1,genbank,3711,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/704/385/GCA_030704385.1_ASM3070438v1/GCA_030704385.1_ASM3070438v1_genomic.fna.gz,species,sequences/GCA_030704385.1_ASM3070438v1.fna.gz,567,473422022
Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Cajanus,Cajanus cajan,GCA_015227855.1,genbank,3821,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/227/855/GCA_015227855.1_Cajanus_cajan_v3.0/GCA_015227855.1_Cajanus_cajan_v3.0_genomic.fna.gz,species,sequences/GCA_015227855.1_Cajanus_cajan_v3.0.fna.gz,13101,586183723
Eukaryota,Streptophyta,Magnoliopsida,Ericales,Theaceae,Camellia,Camellia sinensis,GCA_032173705.1,genbank,4442,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/173/705/GCA_032173705.1_NAAS_Sm_1.0/GCA_032173705.1_NAAS_Sm_1.0_genomic.fna.gz,species,sequences/GCA_032173705.1_NAAS_Sm_1.0.fna.gz,7165,2679620955
Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,GCA_031234615.1,genbank,4072,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/234/615/GCA_031234615.1_ASM3123461v1/GCA_031234615.1_ASM3123461v1_genomic.fna.gz,species,sequences/GCA_031234615.1_ASM3123461v1.fna.gz,12,3103116129
Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,Carica papaya,GCA_022788785.1,genbank,3649,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/788/785/GCA_022788785.1_sunset/GCA_022788785.1_sunset_genomic.fna.gz,species,sequences/GCA_022788785.1_sunset.fna.gz,67,349877844
Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Carthamus,Carthamus tinctorius,GCA_001633085.1,genbank,4222,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/085/GCA_001633085.1_Safflower1/GCA_001633085.1_Safflower1_genomic.fna.gz,species,sequences/GCA_001633085.1_Safflower1.fna.gz,463906,661937708
Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,Carya illinoinensis,GCA_018689175.1,genbank,32201,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/689/175/GCA_018689175.1_C.illinoinensisElliott_v1/GCA_018689175.1_C.illinoinensisElliott_v1_genomic.fna.gz,species,sequences/GCA_018689175.1_C.illinoinensisElliott_v1.fna.gz,431,656687212
Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Cicer,Cicer arietinum,GCA_000347275.4,genbank,3827,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/275/GCA_000347275.4_ASM34727v4/GCA_000347275.4_ASM34727v4_genomic.fna.gz,species,sequences/GCA_000347275.4_ASM34727v4.fna.gz,30401,511683526
Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium endivia,GCA_023376185.1,genbank,114280,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/376/185/GCA_023376185.1_v1/GCA_023376185.1_v1_genomic.fna.gz,species,sequences/GCA_023376185.1_v1.fna.gz,1260,886977840
Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus,GCA_030463085.1,genbank,13427,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/463/085/GCA_030463085.1_CHIC_2.0/GCA_030463085.1_CHIC_2.0_genomic.fna.gz,species,sequences/GCA_030463085.1_CHIC_2.0.fna.gz,334,1817115017
Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,Citrullus lanatus,GCA_029034555.1,genbank,3654,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/034/555/GCA_029034555.1_KOR._cv.242-1/GCA_029034555.1_KOR._cv.242-1_genomic.fna.gz,species,sequences/GCA_029034555.1_KOR._cv.242-1.fna.gz,14,361459317
Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus x limon,GCA_034663535.1,genbank,2708,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/663/535/GCA_034663535.1_C.limon_PB_Hap2/GCA_034663535.1_C.limon_PB_Hap2_genomic.fna.gz,species,sequences/GCA_034663535.1_C.limon_PB_Hap2.fna.gz,9,307473079
Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus maxima,GCA_029641205.1,genbank,37334,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/641/205/GCA_029641205.1_ASM2964120v1/GCA_029641205.1_ASM2964120v1_genomic.fna.gz,species,sequences/GCA_029641205.1_ASM2964120v1.fna.gz,11,343532576
Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus reticulata,GCA_036169575.1,genbank,85571,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/169/575/GCA_036169575.1_PB533_SCSK_HAP2/GCA_036169575.1_PB533_SCSK_HAP2_genomic.fna.gz,species,sequences/GCA_036169575.1_PB533_SCSK_HAP2.fna.gz,9,303165851
Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus sinensis,GCA_022201065.1,genbank,2711,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/201/065/GCA_022201065.1_DVS_B1.0/GCA_022201065.1_DVS_B1.0_genomic.fna.gz,species,sequences/GCA_022201065.1_DVS_B1.0.fna.gz,9,299602842
Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea arabica,GCA_036785885.1,genbank,13443,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/785/885/GCA_036785885.1_Coffea_Arabica_ET-39_HiFi/GCA_036785885.1_Coffea_Arabica_ET-39_HiFi_genomic.fna.gz,species,sequences/GCA_036785885.1_Coffea_Arabica_ET-39_HiFi.fna.gz,133,1198133039
Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea canephora,GCA_036785865.1,genbank,49390,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/785/865/GCA_036785865.1_ASM3678586v1/GCA_036785865.1_ASM3678586v1_genomic.fna.gz,species,sequences/GCA_036785865.1_ASM3678586v1.fna.gz,3033,672383427
Eukaryota,Streptophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus avellana,GCA_901000735.2,genbank,13451,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/000/735/GCA_901000735.2_CavTom2PMs-1.0/GCA_901000735.2_CavTom2PMs-1.0_genomic.fna.gz,species,sequences/GCA_901000735.2_CavTom2PMs-1.0.fna.gz,11,369779143
Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Crocus,Crocus sativus,GCA_029339355.1,genbank,82528,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/339/355/GCA_029339355.1_CS_assembly_2/GCA_029339355.1_CS_assembly_2_genomic.fna.gz,species,sequences/GCA_029339355.1_CS_assembly_2.fna.gz,2562722,3011142691
Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis melo,GCA_030578075.1,genbank,3656,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/578/075/GCA_030578075.1_P84_V1/GCA_030578075.1_P84_V1_genomic.fna.gz,species,sequences/GCA_030578075.1_P84_V1.fna.gz,47,379455020
Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis sativus,GCA_016161765.1,genbank,3659,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/765/GCA_016161765.1_Hx117_PacBio_assembly/GCA_016161765.1_Hx117_PacBio_assembly_genomic.fna.gz,species,sequences/GCA_016161765.1_Hx117_PacBio_assembly.fna.gz,830,243736673
Eukaryota,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Curcuma,Curcuma longa,GCA_025388495.1,genbank,136217,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/388/495/GCA_025388495.1_ASM2538849v1/GCA_025388495.1_ASM2538849v1_genomic.fna.gz,species,sequences/GCA_025388495.1_ASM2538849v1.fna.gz,290927,581175068
Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Cydonia,Cydonia oblonga,GCA_015708375.1,genbank,36610,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/708/375/GCA_015708375.1_ASM1570837v1/GCA_015708375.1_ASM1570837v1_genomic.fna.gz,species,sequences/GCA_015708375.1_ASM1570837v1.fna.gz,303932,488422409
Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon citratus,GCA_031170775.1,genbank,66014,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/170/775/GCA_031170775.1_Ccit.v1.0/GCA_031170775.1_Ccit.v1.0_genomic.fna.gz,species,sequences/GCA_031170775.1_Ccit.v1.0.fna.gz,127303,364442032
Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Cynara cardunculus,GCA_001531365.2,genbank,4265,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/531/365/GCA_001531365.2_CcrdV1.1/GCA_001531365.2_CcrdV1.1_genomic.fna.gz,species,sequences/GCA_001531365.2_CcrdV1.1.fna.gz,8174,724962400
Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,GCA_030127425.1,genbank,4039,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/127/425/GCA_030127425.1_ASM3012742v1/GCA_030127425.1_ASM3012742v1_genomic.fna.gz,species,sequences/GCA_030127425.1_ASM3012742v1.fna.gz,9,430397194
Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros kaki,GCA_028777405.1,genbank,35925,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/777/405/GCA_028777405.1_ASM2877740v1/GCA_028777405.1_ASM2877740v1_genomic.fna.gz,species,sequences/GCA_028777405.1_ASM2877740v1.fna.gz,11978,4500528094
Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Eruca,Eruca vesicaria,GCA_932364175.1,genbank,180536,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/932/364/175/GCA_932364175.1_Eruca_sativa/GCA_932364175.1_Eruca_sativa_genomic.fna.gz,species,sequences/GCA_932364175.1_Eruca_sativa.fna.gz,1000000,842592905
Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum esculentum,GCA_033239085.1,genbank,3617,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/239/085/GCA_033239085.1_ASM3323908v1/GCA_033239085.1_ASM3323908v1_genomic.fna.gz,species,sequences/GCA_033239085.1_ASM3323908v1.fna.gz,42256,2315884413
Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum tataricum,GCA_002928575.1,genbank,62330,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/928/575/GCA_002928575.1_Ft54/GCA_002928575.1_Ft54_genomic.fna.gz,species,sequences/GCA_002928575.1_Ft54.fna.gz,2564,526767577
Eukaryota,Streptophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus carica,GCA_033242285.1,genbank,3494,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/242/285/GCA_033242285.1_ASM3324228v1/GCA_033242285.1_ASM3324228v1_genomic.fna.gz,species,sequences/GCA_033242285.1_ASM3324228v1.fna.gz,22499,375197597
Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Anethum,Anethum foeniculum,GCA_003724115.2,genbank,2849586,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/724/115/GCA_003724115.2_FoenVul1.1/GCA_003724115.2_FoenVul1.1_genomic.fna.gz,species,sequences/GCA_003724115.2_FoenVul1.1.fna.gz,300977,1011385054
Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria x ananassa,GCA_034370585.1,genbank,3747,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/370/585/GCA_034370585.1_ASM3437058v1/GCA_034370585.1_ASM3437058v1_genomic.fna.gz,species,sequences/GCA_034370585.1_ASM3437058v1.fna.gz,28,793463571
Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Glycine max,GCA_033623075.1,genbank,3847,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/623/075/GCA_033623075.1_Gmax-GtJack-RS1/GCA_033623075.1_Gmax-GtJack-RS1_genomic.fna.gz,species,sequences/GCA_033623075.1_Gmax-GtJack-RS1.fna.gz,20,1011764152
Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus annuus,GCA_026652165.1,genbank,4232,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/652/165/GCA_026652165.1_HanPI659440r1.0-20210824/GCA_026652165.1_HanPI659440r1.0-20210824_genomic.fna.gz,species,sequences/GCA_026652165.1_HanPI659440r1.0-20210824.fna.gz,94,3161980528
Eukaryota,Streptophyta,Magnoliopsida,Rosales,Elaeagnaceae,Hippophae,Hippophae rhamnoides,GCA_033030585.1,genbank,193516,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/030/585/GCA_033030585.1_KIB_Fhip_1.0/GCA_033030585.1_KIB_Fhip_1.0_genomic.fna.gz,species,sequences/GCA_033030585.1_KIB_Fhip_1.0.fna.gz,71,752060844
Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Hordeum,Hordeum vulgare,GCA_949783135.1,genbank,4513,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/783/135/GCA_949783135.1_Hvulgare_cv_RGT_Planet_BPGv2/GCA_949783135.1_Hvulgare_cv_RGT_Planet_BPGv2_genomic.fna.gz,species,sequences/GCA_949783135.1_Hvulgare_cv_RGT_Planet_BPGv2.fna.gz,867,4271848218
Eukaryota,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea batatas,GCA_002525835.2,genbank,4120,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/525/835/GCA_002525835.2_ipoBat4/GCA_002525835.2_ipoBat4_genomic.fna.gz,species,sequences/GCA_002525835.2_ipoBat4.fna.gz,28461,837013208
Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans nigra,GCA_002916485.2,genbank,16719,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/916/485/GCA_002916485.2_ASM291648v2/GCA_002916485.2_ASM291648v2_genomic.fna.gz,species,sequences/GCA_002916485.2_ASM291648v2.fna.gz,431,531994817
Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans regia,GCA_034509015.1,genbank,51240,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/509/015/GCA_034509015.1_ASM3450901v1/GCA_034509015.1_ASM3450901v1_genomic.fna.gz,species,sequences/GCA_034509015.1_ASM3450901v1.fna.gz,16,526400920
Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca sativa,GCA_002870075.4,genbank,4236,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/870/075/GCA_002870075.4_Lsat_Salinas_v11/GCA_002870075.4_Lsat_Salinas_v11_genomic.fna.gz,species,sequences/GCA_002870075.4_Lsat_Salinas_v11.fna.gz,91,2589853228
Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus sativus,GCA_036972225.1,genbank,3860,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/972/225/GCA_036972225.1_JIC_Lsat_2.0/GCA_036972225.1_JIC_Lsat_2.0_genomic.fna.gz,species,sequences/GCA_036972225.1_JIC_Lsat_2.0.fna.gz,7642,5967238946
Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium sativum,GCA_023374145.1,genbank,33125,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/374/145/GCA_023374145.1_ASM2337414v1/GCA_023374145.1_ASM2337414v1_genomic.fna.gz,species,sequences/GCA_023374145.1_ASM2337414v1.fna.gz,10238,336483946
Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,Linum usitatissimum,GCA_010665275.2,genbank,4006,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/665/275/GCA_010665275.2_ASM1066527v2/GCA_010665275.2_ASM1066527v2_genomic.fna.gz,species,sequences/GCA_010665275.2_ASM1066527v2.fna.gz,1608,306378733
Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Litchi,Litchi chinensis,GCA_020101635.1,genbank,151069,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/101/635/GCA_020101635.1_Haplotype_Yunnan/GCA_020101635.1_Haplotype_Yunnan_genomic.fna.gz,species,sequences/GCA_020101635.1_Haplotype_Yunnan.fna.gz,15,450294126
Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,GCA_021014955.1,genbank,29780,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/014/955/GCA_021014955.1_M.indica_Dashehari_mat1.0/GCA_021014955.1_M.indica_Dashehari_mat1.0_genomic.fna.gz,species,sequences/GCA_021014955.1_M.indica_Dashehari_mat1.0.fna.gz,2247,368775949
Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Momordica,Momordica charantia,GCA_013281855.1,genbank,3673,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/281/855/GCA_013281855.1_Mcharantia_2.0/GCA_013281855.1_Mcharantia_2.0_genomic.fna.gz,species,sequences/GCA_013281855.1_Mcharantia_2.0.fna.gz,193,302992168
Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera biennis,GCA_025802395.1,genbank,3942,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/802/395/GCA_025802395.1_ASM2580239v1/GCA_025802395.1_ASM2580239v1_genomic.fna.gz,species,sequences/GCA_025802395.1_ASM2580239v1.fna.gz,276660,312359964
Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,Olea europaea,GCA_023089605.1,genbank,4146,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/089/605/GCA_023089605.1_YAF_Ocus_V1/GCA_023089605.1_YAF_Ocus_V1_genomic.fna.gz,species,sequences/GCA_023089605.1_YAF_Ocus_V1.fna.gz,75,1197677958
Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Oryza sativa,GCA_034140825.1,genbank,4530,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/140/825/GCA_034140825.1_ASM3414082v1/GCA_034140825.1_ASM3414082v1_genomic.fna.gz,species,sequences/GCA_034140825.1_ASM3414082v1.fna.gz,12,385710679
Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,GCA_032594585.1,genbank,4540,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/594/585/GCA_032594585.1_BC48/GCA_032594585.1_BC48_genomic.fna.gz,species,sequences/GCA_032594585.1_BC48.fna.gz,1260,878077472
Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora edulis,GCA_002156105.1,genbank,78168,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/156/105/GCA_002156105.1_ASM215610v1/GCA_002156105.1_ASM215610v1_genomic.fna.gz,species,sequences/GCA_002156105.1_ASM215610v1.fna.gz,234012,165656733
Eukaryota,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Persea,Persea americana,GCA_031208685.1,genbank,3435,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/208/685/GCA_031208685.1_ASM3120868v1/GCA_031208685.1_ASM3120868v1_genomic.fna.gz,species,sequences/GCA_031208685.1_ASM3120868v1.fna.gz,1164,906073381
Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus coccineus,GCA_003122825.1,genbank,3886,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/122/825/GCA_003122825.1_UCLA_Phcoc_1.0/GCA_003122825.1_UCLA_Phcoc_1.0_genomic.fna.gz,species,sequences/GCA_003122825.1_UCLA_Phcoc_1.0.fna.gz,192921,371085572
Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus lunatus,GCA_020570325.1,genbank,3884,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/570/325/GCA_020570325.1_ASM2057032v1/GCA_020570325.1_ASM2057032v1_genomic.fna.gz,species,sequences/GCA_020570325.1_ASM2057032v1.fna.gz,18299,611049776
Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris,GCA_029448765.1,genbank,3885,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/448/765/GCA_029448765.1_ASM2944876v1/GCA_029448765.1_ASM2944876v1_genomic.fna.gz,species,sequences/GCA_029448765.1_ASM2944876v1.fna.gz,1231,615703893
Eukaryota,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Phoenix,Phoenix dactylifera,GCA_000181215.3,genbank,42345,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/215/GCA_000181215.3_PDK50/GCA_000181215.3_PDK50_genomic.fna.gz,species,sequences/GCA_000181215.3_PDK50.fna.gz,200,854663504
