orig_taxid,kingdom,phylum,class,order,family,genus,species,id,db,matched_taxid,url,rank
3659,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis sativus,GCA_016161765.1,genbank,3659,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/765/GCA_016161765.1_Hx117_PacBio_assembly,species
136217,Eukaryota,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Curcuma,Curcuma longa,GCA_025388495.1,genbank,136217,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/388/495/GCA_025388495.1_ASM2538849v1,species
36610,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Cydonia,Cydonia oblonga,GCA_015708375.1,genbank,36610,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/708/375/GCA_015708375.1_ASM1570837v1,species
66014,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon citratus,GCA_031170775.1,genbank,66014,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/170/775/GCA_031170775.1_Ccit.v1.0,species
59895,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Cynara cardunculus,GCA_001531365.2,genbank,4265,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/531/365/GCA_001531365.2_CcrdV1.1,species
4039,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,GCA_030127425.1,genbank,4039,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/127/425/GCA_030127425.1_ASM3012742v1,species
35925,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros kaki,GCA_028777405.1,genbank,35925,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/777/405/GCA_028777405.1_ASM2877740v1,species
29727,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Eruca,Eruca vesicaria,GCA_932364175.1,genbank,180536,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/932/364/175/GCA_932364175.1_Eruca_sativa,species
3617,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum esculentum,GCA_033239085.1,genbank,3617,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/239/085/GCA_033239085.1_ASM3323908v1,species
62330,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum tataricum,GCA_002928575.1,genbank,62330,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/928/575/GCA_002928575.1_Ft54,species
3494,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus carica,GCA_033242285.1,genbank,3494,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/242/285/GCA_033242285.1_ASM3324228v1,species
48038,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Anethum,Anethum foeniculum,GCA_003724115.2,genbank,2849586,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/724/115/GCA_003724115.2_FoenVul1.1,species
3747,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria x ananassa,GCA_034370585.1,genbank,3747,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/370/585/GCA_034370585.1_ASM3437058v1,species
3847,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Glycine max,GCA_033623075.1,genbank,3847,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/623/075/GCA_033623075.1_Gmax-GtJack-RS1,species
4232,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus annuus,GCA_026652165.1,genbank,4232,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/652/165/GCA_026652165.1_HanPI659440r1.0-20210824,species
193516,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Elaeagnaceae,Hippophae,Hippophae rhamnoides,GCA_033030585.1,genbank,193516,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/030/585/GCA_033030585.1_KIB_Fhip_1.0,species
4513,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Hordeum,Hordeum vulgare,GCA_949783135.1,genbank,4513,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/783/135/GCA_949783135.1_Hvulgare_cv_RGT_Planet_BPGv2,species
4120,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea batatas,GCA_002525835.2,genbank,4120,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/525/835/GCA_002525835.2_ipoBat4,species
16719,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans nigra,GCA_002916485.2,genbank,16719,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/916/485/GCA_002916485.2_ASM291648v2,species
51240,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans regia,GCA_034509015.1,genbank,51240,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/509/015/GCA_034509015.1_ASM3450901v1,species
4236,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca sativa,GCA_002870075.4,genbank,4236,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/870/075/GCA_002870075.4_Lsat_Salinas_v11,species
3860,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus sativus,GCA_036972225.1,genbank,3860,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/972/225/GCA_036972225.1_JIC_Lsat_2.0,species
33125,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium sativum,GCA_023374145.1,genbank,33125,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/374/145/GCA_023374145.1_ASM2337414v1,species
4006,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,Linum usitatissimum,GCA_010665275.2,genbank,4006,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/665/275/GCA_010665275.2_ASM1066527v2,species
151069,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Litchi,Litchi chinensis,GCA_020101635.1,genbank,151069,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/101/635/GCA_020101635.1_Haplotype_Yunnan,species
29780,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,GCA_021014955.1,genbank,29780,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/014/955/GCA_021014955.1_M.indica_Dashehari_mat1.0,species
3673,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Momordica,Momordica charantia,GCA_013281855.1,genbank,3673,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/281/855/GCA_013281855.1_Mcharantia_2.0,species
3942,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera biennis,GCA_025802395.1,genbank,3942,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/802/395/GCA_025802395.1_ASM2580239v1,species
4146,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,Olea europaea,GCA_023089605.1,genbank,4146,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/089/605/GCA_023089605.1_YAF_Ocus_V1,species
4530,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Oryza sativa,GCA_034140825.1,genbank,4530,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/140/825/GCA_034140825.1_ASM3414082v1,species
4540,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,GCA_032594585.1,genbank,4540,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/594/585/GCA_032594585.1_BC48,species
78168,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora edulis,GCA_002156105.1,genbank,78168,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/156/105/GCA_002156105.1_ASM215610v1,species
3435,Eukaryota,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Persea,Persea americana,GCA_031208685.1,genbank,3435,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/208/685/GCA_031208685.1_ASM3120868v1,species
3886,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus coccineus,GCA_003122825.1,genbank,3886,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/122/825/GCA_003122825.1_UCLA_Phcoc_1.0,species
3884,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus lunatus,GCA_020570325.1,genbank,3884,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/570/325/GCA_020570325.1_ASM2057032v1,species
3885,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris,GCA_029448765.1,genbank,3885,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/448/765/GCA_029448765.1_ASM2944876v1,species
42345,Eukaryota,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Phoenix,Phoenix dactylifera,GCA_000181215.3,genbank,42345,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/215/GCA_000181215.3_PDK50,species
55513,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Pistacia,Pistacia vera,GCA_026535405.1,genbank,55513,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/535/405/GCA_026535405.1_ASM2653540v1,species
3888,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Pisum,Pisum sativum,GCA_036786075.1,genbank,3888,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/786/075/GCA_036786075.1_ASM3678607v1,species
46147,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Portulacaceae,Portulaca,Portulaca oleracea,GCA_029582165.1,genbank,46147,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/582/165/GCA_029582165.1_ASM2958216v1,species
36596,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus armeniaca,GCA_020424065.1,genbank,36596,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/424/065/GCA_020424065.1_ASM2042406v1,species
42229,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus avium,GCA_014155035.1,genbank,42229,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/155/035/GCA_014155035.1_NE-ME-NP-PH,species
3755,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus dulcis,GCA_021292205.2,genbank,3755,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/292/205/GCA_021292205.2_OSU_Pdul_2.5,species
3760,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus persica,GCA_024337555.1,genbank,3760,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/337/555/GCA_024337555.1_ASM2433755v1,species
120290,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,Psidium guajava,GCA_023344035.1,genbank,120290,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/344/035/GCA_023344035.1_EMB_PsiGuava_1.0,species
22663,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Lythraceae,Punica,Punica granatum,GCA_037055205.1,genbank,22663,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/055/205/GCA_037055205.1_ASM3705520v1,species
23211,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus communis,GCA_963583255.1,genbank,23211,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/583/255/GCA_963583255.1_drPyrComm1.1,species
3726,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Raphanus sativus,GCA_963506615.2,genbank,3726,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/506/615/GCA_963506615.2_Genome_and_annotation,species
39367,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia rosmarinus,GCA_036937905.1,genbank,39367,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/937/905/GCA_036937905.1_ASM3693790v1,species
32247,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus idaeus,GCA_030142095.1,genbank,32247,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/142/095/GCA_030142095.1_RiMJ,species
4202,Eukaryota,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,Sambucus nigra,GCA_949130505.1,genbank,4202,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/130/505/GCA_949130505.1_daSamNigr1.1_alternate_haplotype,species
4550,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Secale,Secale cereale,GCA_902687465.1,genbank,4550,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/687/465/GCA_902687465.1_Rye_Lo7_2018_v1p1p1,species
4182,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum,GCA_027475695.1,genbank,4182,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/475/695/GCA_027475695.1_ASM2747569v1,species
4081,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum lycopersicum,GCA_036512215.1,genbank,4081,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/512/215/GCA_036512215.1_ASM3651221v1,species
195583,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum lycopersicum,GCA_036512215.1,genbank,4081,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/512/215/GCA_036512215.1_ASM3651221v1,species
4111,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum melongena,GCA_000787875.1,genbank,4111,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/875/GCA_000787875.1_SME_r2.5.1,species
4113,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum tuberosum,GCA_014189475.1,genbank,4113,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/189/475/GCA_014189475.1_ASM1418947v1,species
4558,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,Sorghum bicolor,GCA_033546975.1,genbank,4558,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/546/975/GCA_033546975.1_ASM3354697v1,species
3562,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Spinacia,Spinacia oleracea,GCA_020520425.1,genbank,3562,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/520/425/GCA_020520425.1_BTI_SOV_V1,species
219868,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium aromaticum,GCA_024500025.1,genbank,219868,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/500/025/GCA_024500025.1_ASM2450002v1,species
3641,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Theobroma cacao,GCA_036851125.1,genbank,3641,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/851/125/GCA_036851125.1_USDA_IMC_67,species
4565,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,GCA_951799155.1,genbank,4565,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/951/799/155/GCA_951799155.1_NIAB_Elite_MAGIC_Alchemy,species
69266,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium corymbosum,GCA_014504835.1,genbank,69266,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/504/835/GCA_014504835.1_ASM1450483v1,species
13750,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium macrocarpon,GCA_022606695.1,genbank,13750,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/606/695/GCA_022606695.1_ASM2260669v1,species
180763,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium myrtillus,GCA_016920895.1,genbank,180763,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/920/895/GCA_016920895.1_VacMyr_v1.0,species
180772,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitis-idaea,GCA_963855025.1,genbank,180772,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/855/025/GCA_963855025.1_ddVacViti1.1_alternate_haplotype,species
